date,civ_labor_force,unemployed_27over,unemployed,unemployment_rate
1997-09-01,136675.00,1074.00,6656.00,4.90
1997-10-01,136633.00,1034.00,6454.00,4.70
1997-11-01,136961.00,938.00,6308.00,4.60
1997-12-01,137155.00,984.00,6476.00,4.70
1998-01-01,137095.00,995.00,6368.00,4.60
1998-02-01,137112.00,957.00,6306.00,4.60
1998-03-01,137236.00,918.00,6422.00,4.70
1998-04-01,137150.00,883.00,5941.00,4.30
1998-05-01,137372.00,839.00,6047.00,4.40
1998-06-01,137455.00,789.00,6212.00,4.50
1998-07-01,137588.00,821.00,6259.00,4.50
1998-08-01,137570.00,818.00,6179.00,4.50
1998-09-01,138286.00,916.00,6300.00,4.60
1998-10-01,138279.00,858.00,6280.00,4.50
1998-11-01,138381.00,875.00,6100.00,4.40
1998-12-01,138634.00,803.00,6032.00,4.40
1999-01-01,139003.00,714.00,5976.00,4.30
1999-02-01,138967.00,801.00,6111.00,4.40
1999-03-01,138730.00,714.00,5783.00,4.20
1999-04-01,138959.00,698.00,6004.00,4.30
1999-05-01,139107.00,718.00,5796.00,4.20
1999-06-01,139329.00,812.00,5951.00,4.30
1999-07-01,139439.00,732.00,6025.00,4.30
1999-08-01,139430.00,706.00,5838.00,4.20
1999-09-01,139622.00,709.00,5915.00,4.20
1999-10-01,139771.00,724.00,5778.00,4.10
1999-11-01,140025.00,682.00,5716.00,4.10
1999-12-01,140177.00,680.00,5653.00,4.00
2000-01-01,142267.00,721.00,5708.00,4.00
2000-02-01,142456.00,629.00,5858.00,4.10
2000-03-01,142434.00,646.00,5733.00,4.00
2000-04-01,142751.00,599.00,5481.00,3.80
2000-05-01,142388.00,643.00,5758.00,4.00
2000-06-01,142591.00,627.00,5651.00,4.00
2000-07-01,142278.00,698.00,5747.00,4.00
2000-08-01,142514.00,709.00,5853.00,4.10
2000-09-01,142518.00,646.00,5625.00,3.90
2000-10-01,142622.00,627.00,5534.00,3.90
2000-11-01,142962.00,593.00,5639.00,3.90
2000-12-01,143248.00,642.00,5634.00,3.90
2001-01-01,143800.00,676.00,6023.00,4.20
2001-02-01,143701.00,714.00,6089.00,4.20
2001-03-01,143924.00,696.00,6141.00,4.30
2001-04-01,143569.00,712.00,6271.00,4.40
2001-05-01,143318.00,624.00,6226.00,4.30
2001-06-01,143357.00,710.00,6484.00,4.50
2001-07-01,143654.00,702.00,6583.00,4.60
2001-08-01,143284.00,857.00,7042.00,4.90
2001-09-01,143989.00,819.00,7142.00,5.00
2001-10-01,144086.00,909.00,7694.00,5.30
2001-11-01,144240.00,1106.00,8003.00,5.50
2001-12-01,144305.00,1126.00,8258.00,5.70
2002-01-01,143883.00,1203.00,8182.00,5.70
2002-02-01,144653.00,1214.00,8215.00,5.70
2002-03-01,144481.00,1330.00,8304.00,5.70
2002-04-01,144725.00,1457.00,8599.00,5.90
2002-05-01,144938.00,1574.00,8399.00,5.80
2002-06-01,144808.00,1641.00,8393.00,5.80
2002-07-01,144803.00,1584.00,8390.00,5.80
2002-08-01,145009.00,1573.00,8304.00,5.70
2002-09-01,145552.00,1580.00,8251.00,5.70
2002-10-01,145314.00,1653.00,8307.00,5.70
2002-11-01,145041.00,1743.00,8520.00,5.90
2002-12-01,145066.00,1924.00,8640.00,6.00
2003-01-01,145937.00,1760.00,8520.00,5.80
2003-02-01,146100.00,1864.00,8618.00,5.90
2003-03-01,146022.00,1798.00,8588.00,5.90
2003-04-01,146474.00,1927.00,8842.00,6.00
2003-05-01,146500.00,1929.00,8957.00,6.10
2003-06-01,147056.00,2100.00,9266.00,6.30
2003-07-01,146485.00,1972.00,9011.00,6.20
2003-08-01,146445.00,1995.00,8896.00,6.10
2003-09-01,146530.00,2014.00,8921.00,6.10
2003-10-01,146716.00,1959.00,8732.00,6.00
2003-11-01,147000.00,2006.00,8576.00,5.80
2003-12-01,146729.00,1931.00,8317.00,5.70
2004-01-01,146842.00,1911.00,8370.00,5.70
2004-02-01,146709.00,1856.00,8167.00,5.60
2004-03-01,146944.00,1983.00,8491.00,5.80
2004-04-01,146850.00,1805.00,8170.00,5.60
2004-05-01,147065.00,1799.00,8212.00,5.60
2004-06-01,147460.00,1847.00,8286.00,5.60
2004-07-01,147692.00,1681.00,8136.00,5.50
2004-08-01,147564.00,1640.00,7990.00,5.40
2004-09-01,147415.00,1702.00,7927.00,5.40
2004-10-01,147793.00,1737.00,8061.00,5.50
2004-11-01,148162.00,1702.00,7932.00,5.40
2004-12-01,148059.00,1653.00,7934.00,5.40
2005-01-01,148029.00,1648.00,7784.00,5.30
2005-02-01,148364.00,1628.00,7980.00,5.40
2005-03-01,148391.00,1660.00,7737.00,5.20
2005-04-01,148926.00,1609.00,7672.00,5.20
2005-05-01,149261.00,1538.00,7651.00,5.10
2005-06-01,149238.00,1375.00,7524.00,5.00
2005-07-01,149432.00,1380.00,7406.00,5.00
2005-08-01,149779.00,1407.00,7345.00,4.90
2005-09-01,149954.00,1439.00,7553.00,5.00
2005-10-01,150001.00,1422.00,7453.00,5.00
2005-11-01,150065.00,1370.00,7566.00,5.00
2005-12-01,150030.00,1356.00,7279.00,4.90
2006-01-01,150214.00,1170.00,7064.00,4.70
2006-02-01,150641.00,1350.00,7184.00,4.80
2006-03-01,150813.00,1309.00,7072.00,4.70
2006-04-01,150881.00,1331.00,7120.00,4.70
2006-05-01,151069.00,1333.00,6980.00,4.60
2006-06-01,151354.00,1145.00,7001.00,4.60
2006-07-01,151377.00,1304.00,7175.00,4.70
2006-08-01,151716.00,1306.00,7091.00,4.70
2006-09-01,151662.00,1245.00,6847.00,4.50
2006-10-01,152041.00,1078.00,6727.00,4.40
2006-11-01,152406.00,1131.00,6872.00,4.50
2006-12-01,152732.00,1093.00,6762.00,4.40
2007-01-01,153144.00,1141.00,7116.00,4.60
2007-02-01,152983.00,1249.00,6927.00,4.50
2007-03-01,153051.00,1245.00,6731.00,4.40
2007-04-01,152435.00,1206.00,6850.00,4.50
2007-05-01,152670.00,1132.00,6766.00,4.40
2007-06-01,153041.00,1143.00,6979.00,4.60
2007-07-01,153054.00,1291.00,7149.00,4.70
2007-08-01,152749.00,1246.00,7067.00,4.60
2007-09-01,153414.00,1264.00,7170.00,4.70
2007-10-01,153183.00,1298.00,7237.00,4.70
2007-11-01,153835.00,1374.00,7240.00,4.70
2007-12-01,153918.00,1324.00,7645.00,5.00
2008-01-01,154063.00,1388.00,7685.00,5.00
2008-02-01,153653.00,1329.00,7497.00,4.90
2008-03-01,153908.00,1323.00,7822.00,5.10
2008-04-01,153769.00,1372.00,7637.00,5.00
2008-05-01,154303.00,1561.00,8395.00,5.40
2008-06-01,154313.00,1576.00,8575.00,5.60
2008-07-01,154469.00,1664.00,8937.00,5.80
2008-08-01,154641.00,1866.00,9438.00,6.10
2008-09-01,154570.00,2027.00,9494.00,6.10
2008-10-01,154876.00,2280.00,10074.00,6.50
2008-11-01,154639.00,2219.00,10538.00,6.80
2008-12-01,154655.00,2610.00,11286.00,7.30
2009-01-01,154232.00,2700.00,12079.00,7.80
2009-02-01,154526.00,3011.00,12881.00,8.30
2009-03-01,154142.00,3261.00,13421.00,8.70
2009-04-01,154479.00,3723.00,13826.00,9.00
2009-05-01,154742.00,3970.00,14492.00,9.40
2009-06-01,154710.00,4349.00,14705.00,9.50
2009-07-01,154505.00,4915.00,14607.00,9.50
2009-08-01,154300.00,5044.00,14819.00,9.60
2009-09-01,153815.00,5492.00,15005.00,9.80
2009-10-01,153804.00,5647.00,15382.00,10.00
2009-11-01,153887.00,5922.00,15223.00,9.90
2009-12-01,153120.00,6124.00,15095.00,9.90
2010-01-01,153455.00,6334.00,15016.00,9.80
2010-02-01,153702.00,6202.00,15078.00,9.80
2010-03-01,153960.00,6580.00,15192.00,9.90
2010-04-01,154577.00,6704.00,15281.00,9.90
2010-05-01,154110.00,6639.00,14856.00,9.60
2010-06-01,153623.00,6607.00,14475.00,9.40
2010-07-01,153709.00,6485.00,14542.00,9.50
2010-08-01,154078.00,6248.00,14673.00,9.50
2010-09-01,153966.00,6147.00,14577.00,9.50
2010-10-01,153681.00,6233.00,14584.00,9.50
2010-11-01,154140.00,6338.00,15094.00,9.80
2010-12-01,153649.00,6428.00,14354.00,9.30
2011-01-01,153244.00,6219.00,13992.00,9.10
2011-02-01,153269.00,6006.00,13798.00,9.00
2011-03-01,153358.00,6157.00,13716.00,8.90
2011-04-01,153478.00,5834.00,13872.00,9.00
2011-05-01,153552.00,6153.00,13871.00,9.00
2011-06-01,153369.00,6213.00,13964.00,9.10
2011-07-01,153325.00,6143.00,13817.00,9.00
2011-08-01,153707.00,6020.00,13837.00,9.00
2011-09-01,154074.00,6261.00,13910.00,9.00
2011-10-01,154010.00,5859.00,13696.00,8.90
2011-11-01,154096.00,5698.00,13325.00,8.60
2011-12-01,153945.00,5596.00,13049.00,8.50
2012-01-01,154356.00,5522.00,12748.00,8.30
2012-02-01,154825.00,5392.00,12806.00,8.30
2012-03-01,154707.00,5302.00,12686.00,8.20
2012-04-01,154451.00,5040.00,12518.00,8.10
2012-05-01,154998.00,5385.00,12695.00,8.20
2012-06-01,155149.00,5336.00,12701.00,8.20
2012-07-01,154995.00,5167.00,12745.00,8.20
2012-08-01,154647.00,5023.00,12483.00,8.10
2012-09-01,155056.00,4871.00,12082.00,7.80
2012-10-01,155576.00,5017.00,12248.00,7.90
2012-11-01,155319.00,4784.00,12042.00,7.80
2012-12-01,155511.00,4766.00,12206.00,7.80
2013-01-01,155654.00,4708.00,12332.00,7.90
2013-02-01,155524.00,4797.00,12032.00,7.70
2013-03-01,155028.00,4611.00,11742.00,7.60
2013-04-01,155238.00,4353.00,11659.00,7.50
2013-05-01,155658.00,4357.00,11760.00,7.60
2013-06-01,155835.00,4328.00,11777.00,7.60
2013-07-01,155798.00,4246.00,11514.00,7.40
2013-08-01,155486.00,4290.00,11316.00,7.30
2013-09-01,155559.00,4146.00,11255.00,7.20
2013-10-01,154839.00,4063.00,11272.00,7.30
11/1/13,155294.00,4066.00,10907.00,7.00
